timestamp,long,lat,individual-local-identifier
2008-09-18 17:38:48,-1.57632,55.60801,gp13-902-08
2008-09-18 18:07:24,-1.59201,55.62697,gp13-902-08
2008-09-18 19:37:00,-1.6063,55.64333,gp13-902-08
2008-09-18 20:08:24,-1.60633,55.64321,gp13-902-08
2008-09-18 21:07:00,-1.60489,55.64277,gp13-902-08
2008-09-19 05:37:16,-1.52636,55.59859,gp13-902-08
2008-09-19 06:07:48,-1.5057,55.59519,gp13-902-08
2008-09-19 07:12:04,-1.46136,55.59673,gp13-902-08
2008-09-19 08:42:40,-1.43322,55.60304,gp13-902-08
2008-09-19 09:09:36,-1.40958,55.60649,gp13-902-08
2008-09-19 10:09:08,-1.39431,55.63113,gp13-902-08
2008-09-19 10:42:28,-1.38279,55.65511,gp13-902-08
2008-09-19 11:10:44,-1.37002,55.67766,gp13-902-08
2008-09-19 11:40:00,-1.35256,55.70087,gp13-902-08
2008-09-19 12:08:04,-1.34241,55.72635,gp13-902-08
2008-09-19 13:10:16,-1.34022,55.78144,gp13-902-08
2008-09-19 13:40:36,-1.3503,55.80233,gp13-902-08
2008-09-19 14:11:56,-1.33018,55.82393,gp13-902-08
2008-09-19 14:38:04,-1.30374,55.83538,gp13-902-08
2008-09-19 15:12:24,-1.26701,55.84188,gp13-902-08
2008-09-19 16:08:24,-1.24107,55.85658,gp13-902-08
2008-09-19 16:40:28,-1.22572,55.86306,gp13-902-08
2008-09-19 17:10:48,-1.18883,55.87319,gp13-902-08
2008-09-19 17:37:48,-1.17073,55.88887,gp13-902-08
2008-09-19 18:11:04,-1.19481,55.9066,gp13-902-08
2008-09-19 18:37:00,-1.20911,55.91701,gp13-902-08
2008-09-19 19:11:12,-1.23279,55.92628,gp13-902-08
2008-09-19 19:38:36,-1.24285,55.93652,gp13-902-08
2008-09-19 21:42:48,-1.23787,55.9582,gp13-902-08
2008-09-19 23:40:48,-1.22305,56.03488,gp13-902-08
2008-09-20 01:07:00,-1.22757,56.0817,gp13-902-08
2008-09-20 02:41:48,-1.30395,56.10206,gp13-902-08
2008-09-20 03:08:32,-1.31695,56.10014,gp13-902-08
2008-09-20 07:08:24,-1.3473,56.1136,gp13-902-08
2008-09-20 10:37:40,-1.35311,56.13459,gp13-902-08
2008-09-20 12:38:16,-1.29301,56.19099,gp13-902-08
2008-09-20 13:39:20,-1.29453,56.21463,gp13-902-08
2008-09-20 22:38:48,-1.21772,56.14945,gp13-902-08
2008-09-21 01:09:40,-1.22737,56.18053,gp13-902-08
2008-09-21 03:12:04,-1.24407,56.19102,gp13-902-08
2008-09-21 06:39:12,-1.31571,56.09903,gp13-902-08
2008-09-21 08:08:40,-1.36867,56.13617,gp13-902-08
2008-09-21 11:08:44,-1.35605,56.14541,gp13-902-08
2008-09-23 11:07:04,-1.28188,56.13773,gp13-902-08
2008-09-23 15:37:00,-1.37296,56.21167,gp13-902-08
2008-09-23 17:07:48,-1.40989,56.20403,gp13-902-08
2008-09-23 17:39:04,-1.38928,56.19243,gp13-902-08
2008-09-24 01:07:32,-1.32844,56.09095,gp13-902-08
