"","ID","time","x","y","long","lat","depth","chl","dive"
"858","gp13-902-08","2008-06-03 23:07:52",839717.943890309,6110917.48347295,2.317119998,55.0287,29.4086870458633,1.05713183377132,37
"859","gp13-902-08","2008-06-04 02:38:00",839636.887006037,6111306.9350557,2.316319998,55.03224,30.4018895700625,1.05713183377132,32
"860","gp13-902-08","2008-06-04 03:09:12",839729.896328111,6110903.86613083,2.317289998,55.02857,29.4086870458633,1.05713183377132,37
"861","gp13-902-08","2008-06-04 03:37:00",839911.030937951,6110734.39589389,2.319909998,55.02693,29.3669235612303,1.05713183377132,22
"862","gp13-902-08","2008-06-04 04:10:00",839731.890912194,6111155.48018746,2.317619998,55.03082,29.4086870458633,1.05713183377132,47
"863","gp13-902-08","2008-06-04 04:37:44",839741.48874839,6111096.97897062,2.317699998,55.03029,29.4086870458633,1.05713183377132,19
"864","gp13-902-08","2008-06-04 05:07:24",840098.710837955,6109856.86273215,2.321789998,55.01895,29.3669235612303,1.05713183377132,30
"865","gp13-902-08","2008-06-04 14:07:52",842570.384104648,6112262.57600343,2.363159998,55.03878,30.2761501152327,1.05713183377132,39
"866","gp13-902-08","2008-06-04 15:07:20",842115.806168236,6111687.78572361,2.355389998,55.03395,30.2761501152327,1.05713183377132,40
"867","gp13-902-08","2008-06-04 16:08:12",841947.883186872,6112060.48649227,2.353219998,55.0374,30.2761501152327,1.05713183377132,29
"868","gp13-902-08","2008-06-04 19:09:32",841961.031589597,6112048.08411696,2.353409998,55.03728,30.2761501152327,1.05713183377132,41
"869","gp13-902-08","2008-06-04 19:38:24",841985.644335381,6111944.9128024,2.353669998,55.03634,30.2761501152327,1.05713183377132,41
"870","gp13-902-08","2008-06-04 20:09:44",841993.992196228,6111903.08223026,2.353749998,55.03596,30.2761501152327,1.05713183377132,36
"871","gp13-902-08","2008-06-04 20:37:04",841973.226395188,6111922.7233015,2.353449998,55.03615,30.2761501152327,1.05713183377132,35
"872","gp13-902-08","2008-06-04 21:10:00",841988.956966426,6111776.39819561,2.353519998,55.03483,30.2761501152327,1.05713183377132,45
"873","gp13-902-08","2008-06-04 23:09:44",842016.138539719,6111798.60386873,2.353969998,55.03501,30.2761501152327,1.05713183377132,39
"874","gp13-902-08","2008-06-05 04:39:20",839339.771549215,6111726.85746555,2.312189998,55.0362,30.4018895700625,1.05713183377132,29
"875","gp13-902-08","2008-06-05 05:38:00",839815.424859311,6110767.33584014,2.318459998,55.02729,29.3669235612303,1.05713183377132,47
"876","gp13-902-08","2008-06-05 06:07:56",839805.545810095,6110745.34766914,2.318279998,55.0271,29.3669235612303,1.05713183377132,35
"877","gp13-902-08","2008-06-05 06:37:52",839674.354092307,6110992.39180087,2.316529998,55.0294,29.4086870458633,1.05713183377132,32
"878","gp13-902-08","2008-06-05 09:07:44",839056.166515653,6114497.01419914,2.311059998,55.06118,31,1.00125311726111,22
"879","gp13-902-08","2008-06-05 10:10:00",839365.122511763,6111714.26047932,2.312569998,55.03607,30.4018895700625,1.05713183377132,30
"880","gp13-902-08","2008-06-05 10:38:16",839782.315032114,6110889.98249856,2.318089998,55.02841,29.4086870458633,1.05713183377132,37
"881","gp13-902-08","2008-06-05 11:37:56",839881.120203665,6110747.76027642,2.319459998,55.02707,29.3669235612303,1.05713183377132,27
"882","gp13-902-08","2008-06-05 12:07:24",839703.314042967,6110940.95512189,2.316919998,55.02892,29.4086870458633,1.05713183377132,13
"883","gp13-902-08","2008-06-05 12:38:28",838973.963515888,6111953.80846952,2.306759998,55.03848,30.4018895700625,1.05713183377132,13
"884","gp13-902-08","2008-06-05 13:38:28",834965.661575312,6112369.03488935,2.244789999,55.04491,30.5678042083514,1.05811222598751,0
"885","gp13-902-08","2008-06-05 14:08:32",832165.865355019,6113036.43710519,2.201929999,55.05276,30.9886074667743,1.02682336007417,0
"886","gp13-902-08","2008-06-05 14:37:52",829402.737455838,6113059.03696204,2.158879999,55.0548,31,1.02682336007417,6
