"","X","gps_data_animals_id","gps_sensors_id","animals_id","acquisition_time","geom","species_code","x","y"
"5458",5458,159266,2,2,"2014-04-12 11:00:14","0101000020E6100000BBF2599E075551C043FE3E8809273DC0",1,468042.349639086,6775075.05475916
"5459",5459,159269,2,2,"2014-04-12 12:00:15","0101000020E6100000F6F301DC075551C0B33D1F0A0B273DC0",1,468040.927073679,6775072.50248187
"5460",5460,159270,2,2,"2014-04-12 12:00:12","0101000020E6100000F6F301DC075551C0B33D1F0A0B273DC0",1,468040.927073679,6775072.50248187
"5461",5461,159271,2,2,"2014-04-12 12:00:29","0101000020E61000002C216981075551C0DDA85F330A273DC0",1,468043.023872874,6775073.92652583
"5462",5462,159272,2,2,"2014-04-12 12:00:08","0101000020E610000085DF9744075551C0BAAAA22E08273DC0",1,468044.424573236,6775077.34294884
"5463",5463,159273,2,2,"2014-04-12 12:00:06","0101000020E61000001AE4897B075551C0C5387F130A273DC0",1,468043.159445238,6775074.13741656
"5464",5464,159274,2,2,"2014-04-12 12:00:16","0101000020E6100000AF754E58075551C061BBC50D09273DC0",1,468043.971579554,6775075.86809951
"5465",5465,159275,2,2,"2014-04-12 13:00:16","0101000020E6100000FC57B153075551C061BBC50D09273DC0",1,468044.078562791,6775075.86839838
"5466",5466,159276,2,2,"2014-04-12 13:00:30","0101000020E610000085DF9744075551C08F1F85460B273DC0",1,468044.43918222,6775072.11342891
"5467",5467,159277,2,2,"2014-04-12 13:00:14","0101000020E61000005C1BCF0C075551C0A18A76700B273DC0",1,468045.733480137,6775071.84005509
"5468",5468,159280,2,2,"2014-04-12 13:00:05","0101000020E61000000E396C11075551C0534953F30B273DC0",1,468045.628911048,6775070.9755559
"5469",5469,159281,2,2,"2014-04-12 14:00:12","0101000020E6100000328518F9065551C0CA31FE220D273DC0",1,468046.198606111,6775068.97174371
"5470",5470,159282,2,2,"2014-04-12 14:00:13","0101000020E61000002C5217DF065551C0AC600AC50C273DC0",1,468046.799869029,6775069.59387963
"5471",5471,159283,2,2,"2014-04-12 14:00:14","0101000020E610000026C05543075551C094A872350D273DC0",1,468044.477490074,6775068.84506044
"5472",5472,159285,2,2,"2014-04-12 14:00:17","0101000020E6100000C1560916075551C0184B47EF0A273DC0",1,468045.517130572,6775072.69257822
"5473",5473,159286,2,2,"2014-04-12 14:00:29","0101000020E610000097C05202075551C02FE301C00C273DC0",1,468045.982813729,6775069.62483601
"5474",5474,159287,2,2,"2014-04-12 15:00:05","0101000020E610000097C05202075551C0482B082F0B273DC0",1,468045.975416731,6775072.27283446
"5475",5475,159288,2,2,"2014-04-12 15:00:13","0101000020E610000038FD3449075551C041DE61C90B273DC0",1,468044.334613224,6775071.24892971
"5476",5476,159291,2,2,"2014-04-12 15:00:14","0101000020E6100000DE10F461075551C0B2ADB02A0C273DC0",1,468043.762589489,6775070.60471619
"5477",5477,159293,2,2,"2014-04-12 16:00:14","0101000020E61000009D52149E065551C01F285C3409273DC0",1,468048.290523816,6775075.62533381
