"","X.1","Elk","Date_Time","id","X","Y"
"150",150,"Wiggins2","2015-03-09 20:00:10",2,-1072602.99759768,2357139.4227972
"151",151,"Wiggins2","2015-03-09 21:00:30",2,-1072633.31873183,2357097.49952903
"152",152,"Wiggins2","2015-03-09 22:00:18",2,-1072633.47528196,2357096.39442399
"153",153,"Wiggins2","2015-03-09 23:00:30",2,-1072633.31873183,2357097.49952903
"154",154,"Wiggins2","2015-03-10 00:00:17",2,-1072865.33552547,2357066.11547155
"155",155,"Wiggins2","2015-03-10 01:00:02",2,-1072902.54818644,2356975.56866469
"156",156,"Wiggins2","2015-03-10 02:00:30",2,-1072943.9526016,2356970.16263288
"157",157,"Wiggins2","2015-03-10 03:00:09",2,-1073005.34519336,2356995.77157072
"158",158,"Wiggins2","2015-03-10 04:00:09",2,-1073026.13527616,2356963.77164464
"159",159,"Wiggins2","2015-03-10 05:00:31",2,-1073026.29188025,2356962.66654393
"160",160,"Wiggins2","2015-03-10 06:00:17",2,-1073026.29188025,2356962.66654393
"161",161,"Wiggins2","2015-03-10 07:00:30",2,-1073110.27462874,2357172.97188091
"162",162,"Wiggins2","2015-03-10 08:00:17",2,-1072977.11833213,2357309.667216
"163",163,"Wiggins2","2015-03-10 09:00:09",2,-1072930.68526841,2357407.92484285
"164",164,"Wiggins2","2015-03-10 10:00:24",2,-1072930.21547346,2357411.24012328
"165",165,"Wiggins2","2015-03-10 11:00:17",2,-1072759.77163611,2357409.6347872
"166",166,"Wiggins2","2015-03-10 12:00:08",2,-1072494.34735527,2357390.06971257
"167",167,"Wiggins2","2015-03-10 13:00:30",2,-1072332.3705829,2357271.30968886
"168",168,"Wiggins2","2015-03-10 14:00:15",2,-1072334.09219383,2357259.1535116
"169",169,"Wiggins2","2015-03-10 15:00:48",2,-1073153.22413689,2357214.00510794
"170",170,"Wiggins2","2015-03-10 16:00:08",2,-1074347.05109538,2357736.15385484
"171",171,"Wiggins2","2015-03-10 17:00:03",2,-1074539.13372348,2357871.63501536
"172",172,"Wiggins2","2015-03-10 18:00:25",2,-1074555.85143584,2357868.37115341
"173",173,"Wiggins2","2015-03-10 19:00:07",2,-1074593.61380772,2357945.87903562
"174",174,"Wiggins2","2015-03-10 20:00:16",2,-1074906.92648333,2358315.02387506
"175",175,"Wiggins2","2015-03-10 21:00:30",2,-1075322.27224365,2358594.96347917
"176",176,"Wiggins2","2015-03-10 22:00:16",2,-1075330.55216765,2358593.88495242
"177",177,"Wiggins2","2015-03-10 23:00:30",2,-1075330.86609508,2358591.67489866
"178",178,"Wiggins2","2015-03-11 00:00:16",2,-1075322.74313129,2358591.64839812
"179",179,"Wiggins2","2015-03-11 01:00:25",2,-1075322.27224365,2358594.96347917
"180",180,"Wiggins2","2015-03-11 02:00:08",2,-1075293.39044584,2358569.44192644
"181",181,"Wiggins2","2015-03-11 03:00:07",2,-1075297.27553345,2358599.30414057
"182",182,"Wiggins2","2015-03-11 04:00:30",2,-1075297.27553345,2358599.30414057
"183",183,"Wiggins2","2015-03-11 05:00:48",2,-1075315.561937,2358584.99174277
"184",184,"Wiggins2","2015-03-11 06:00:13",2,-1076429.54846273,2358923.6845302
"185",185,"Wiggins2","2015-03-11 07:00:47",2,-1077647.42860969,2359788.03710921
"186",186,"Wiggins2","2015-03-11 08:00:16",2,-1077335.53467193,2360551.94579078
"187",187,"Wiggins2","2015-03-11 09:00:30",2,-1077235.93564957,2361594.07798307
"188",188,"Wiggins2","2015-03-11 10:00:30",2,-1077302.32838415,2361869.57765915
"189",189,"Wiggins2","2015-03-11 11:00:15",2,-1077302.64299453,2361867.36780782
"190",190,"Wiggins2","2015-03-11 12:00:19",2,-1077301.69916341,2361873.99736158
"191",191,"Wiggins2","2015-03-11 13:00:30",2,-1077301.85646859,2361872.892436
"192",192,"Wiggins2","2015-03-11 14:00:15",2,-1077300.7553324,2361880.62691462
"193",193,"Wiggins2","2015-03-11 15:00:29",2,-1077301.54185824,2361875.10228713
"194",194,"Wiggins2","2015-03-11 16:00:14",2,-1077309.75888288,2361931.51082701
"195",195,"Wiggins2","2015-03-11 17:00:15",2,-1077326.62771119,2361927.14852803
"196",196,"Wiggins2","2015-03-11 18:00:29",2,-1077711.62577111,2362133.0331649
"197",197,"Wiggins2","2015-03-11 19:00:29",2,-1079538.42817879,2362596.36827664
"198",198,"Wiggins2","2015-03-11 20:00:14",2,-1080638.92057743,2362399.46435091
"199",199,"Wiggins2","2015-03-11 21:00:14",2,-1081607.9474668,2362042.98707409
"200",200,"Wiggins2","2015-03-11 22:00:29",2,-1082827.52179023,2361356.04013065
"201",201,"Wiggins2","2015-03-11 23:00:14",2,-1083065.17948345,2361114.94851959
"202",202,"Wiggins2","2015-03-12 00:00:14",2,-1084603.51043315,2361721.99682037
"203",203,"Wiggins2","2015-03-12 01:00:47",2,-1085723.99389218,2361615.45746566
"204",204,"Wiggins2","2015-03-12 02:00:15",2,-1085975.22764092,2361790.19323584
"205",205,"Wiggins2","2015-03-12 03:00:12",2,-1086721.10130377,2362085.57152828
"206",206,"Wiggins2","2015-03-12 04:00:30",2,-1086821.12056271,2362124.74244909
"207",207,"Wiggins2","2015-03-12 05:00:29",2,-1086813.31695314,2362122.49408132
"208",208,"Wiggins2","2015-03-12 06:00:13",2,-1086813.31695314,2362122.49408132
"209",209,"Wiggins2","2015-03-12 07:00:29",2,-1087003.7523564,2362437.37165424
"210",210,"Wiggins2","2015-03-12 08:00:14",2,-1086832.37704488,2362668.70404979
"211",211,"Wiggins2","2015-03-12 09:00:06",2,-1086358.41818679,2362177.81702267
"212",212,"Wiggins2","2015-03-12 10:00:29",2,-1086168.82457587,2362819.21837902
"213",213,"Wiggins2","2015-03-12 11:00:14",2,-1086247.51959476,2362893.65688146
"214",214,"Wiggins2","2015-03-12 12:00:14",2,-1086246.09213419,2362903.59957716
"215",215,"Wiggins2","2015-03-12 13:00:48",2,-1086254.21220482,2362903.63785511
"216",216,"Wiggins2","2015-03-12 14:00:05",2,-1086254.37081271,2362902.53311137
"217",217,"Wiggins2","2015-03-12 15:00:30",2,-1086284.08804442,2363091.71202193
"218",218,"Wiggins2","2015-03-12 16:00:14",2,-1086216.90854549,2363106.87212154
"219",219,"Wiggins2","2015-03-12 17:00:17",2,-1086133.42648471,2363009.19641237
